Date,Open,High,Low,Close,Volume,Adj Close
10/23/2015,116.699997,119.230003,116.330002,119.080002,59366900,115.991727
10/22/2015,114.330002,115.5,114.099998,115.5,41654100,112.50457
10/21/2015,114,115.580002,113.699997,113.760002,41795200,110.809698
10/20/2015,111.339996,114.169998,110.82,113.769997,48778800,110.819433
10/19/2015,110.800003,111.75,110.110001,111.730003,29759200,108.832346
10/16/2015,111.779999,112,110.529999,111.040001,39232600,108.160239
10/15/2015,110.93,112.099998,110.489998,111.860001,37673500,108.958972
10/14/2015,111.290001,111.519997,109.559998,110.209999,44462400,107.351763
10/13/2015,110.82,112.449997,110.68,111.790001,33049300,108.890788
10/12/2015,112.730003,112.75,111.440002,111.599998,30467200,108.705713
10/9/2015,110,112.279999,109.489998,112.120003,52766100,109.212231
10/8/2015,110.190002,110.190002,108.209999,109.5,61979600,106.660177
10/7/2015,111.739998,111.769997,109.410004,110.779999,46765600,107.90698
10/6/2015,110.629997,111.739998,109.769997,111.309998,48196800,108.423233
10/5/2015,109.879997,111.370003,109.07,110.779999,52064700,107.90698
10/2/2015,108.010002,111.010002,107.550003,110.379997,58019800,107.517352
10/1/2015,109.07,109.620003,107.309998,109.580002,63929100,106.738104
9/30/2015,110.169998,111.540001,108.730003,110.300003,66473000,107.439432
9/29/2015,112.830002,113.510002,107.860001,109.059998,73365400,106.231586
9/28/2015,113.849998,114.57,112.440002,112.440002,52109000,109.523932
9/25/2015,116.440002,116.690002,114.019997,114.709999,56151900,111.735057
9/24/2015,113.25,115.5,112.370003,115,50219500,112.017537
9/23/2015,113.629997,114.720001,113.300003,114.32,35756700,111.355172
9/22/2015,113.379997,114.18,112.519997,113.400002,50346200,110.459034
9/21/2015,113.669998,115.370003,113.660004,115.209999,50222000,112.22209
9/18/2015,112.209999,114.300003,111.870003,113.449997,74285300,110.507733
9/17/2015,115.660004,116.489998,113.720001,113.919998,64112600,110.965545
9/16/2015,116.25,116.540001,115.440002,116.410004,37173500,113.390973
9/15/2015,115.93,116.529999,114.419998,116.279999,43341200,113.26434
9/14/2015,116.580002,116.889999,114.860001,115.309998,58363400,112.319495
9/11/2015,111.790001,114.209999,111.760002,114.209999,49915500,111.248025
9/10/2015,110.269997,113.279999,109.900002,112.57,62892800,109.650558
9/9/2015,113.760002,114.019997,109.769997,110.150002,85010800,107.293321
9/8/2015,111.75,112.559998,110.32,112.309998,54843600,109.397299
9/4/2015,108.970001,110.449997,108.510002,109.269997,49996300,106.436139
9/3/2015,112.489998,112.779999,110.040001,110.370003,53233900,107.507617
9/2/2015,110.230003,112.339996,109.129997,112.339996,61888800,109.426519
9/1/2015,110.150002,111.879997,107.360001,107.720001,76845900,104.926341
8/31/2015,112.029999,114.529999,112,112.760002,56229300,109.835633
8/28/2015,112.169998,113.309998,111.540001,113.290001,53164400,110.351886
8/27/2015,112.230003,113.239998,110.019997,112.919998,84616100,109.991479
8/26/2015,107.089996,109.889999,105.050003,109.690002,96774600,106.845252
8/25/2015,111.110001,111.110001,103.5,103.739998,103601600,101.049557
8/24/2015,94.870003,108.800003,92,103.120003,162206300,100.445641
8/21/2015,110.43,111.900002,105.650002,105.760002,128275500,103.017174
8/20/2015,114.080002,114.349998,111.629997,112.650002,68501600,109.728485
8/19/2015,116.099998,116.519997,114.68,115.010002,47445700,112.02728
8/18/2015,116.43,117.440002,116.010002,116.5,34560700,113.478636
8/17/2015,116.040001,117.650002,115.5,117.160004,40884700,114.121522
8/14/2015,114.32,116.309998,114.010002,115.959999,42929500,112.952639
8/13/2015,116.040001,116.400002,114.540001,115.150002,48535800,112.163649
8/12/2015,112.529999,115.419998,109.629997,115.239998,101217500,112.251311
8/11/2015,117.809998,118.18,113.330002,113.489998,97082800,110.546696
8/10/2015,116.529999,119.989998,116.529999,119.720001,54951600,116.615128
8/7/2015,114.580002,116.25,114.5,115.519997,38670400,112.524048
8/6/2015,115.970001,116.5,114.120003,115.129997,52903000,112.144163
8/5/2015,112.949997,117.440002,112.099998,115.400002,99312600,111.900655
8/4/2015,117.419998,117.699997,113.25,114.639999,124138600,111.163699
8/3/2015,121.5,122.57,117.519997,118.440002,69976000,114.848472
7/31/2015,122.599998,122.639999,120.910004,121.300003,42885000,117.621747
7/30/2015,122.32,122.57,121.709999,122.370003,33628300,118.659301
7/29/2015,123.150002,123.5,122.269997,122.989998,37011700,119.260495
7/28/2015,123.379997,123.910004,122.550003,123.379997,33618100,119.638669
7/27/2015,123.089996,123.610001,122.120003,122.769997,44455500,119.047165
7/24/2015,125.32,125.739998,123.900002,124.5,42162300,120.724709
7/23/2015,126.199997,127.089996,125.059998,125.160004,50999500,121.364699
7/22/2015,121.989998,125.5,121.989998,125.220001,115450600,121.422877
7/21/2015,132.850006,132.919998,130.320007,130.75,76756400,126.785186
7/20/2015,130.970001,132.970001,130.699997,132.070007,58900200,128.065166
7/17/2015,129.080002,129.619995,128.309998,129.619995,46164700,125.689447
7/16/2015,127.739998,128.570007,127.349998,128.509995,36222400,124.613106
7/15/2015,125.720001,127.150002,125.580002,126.82,33649200,122.974358
7/14/2015,126.040001,126.370003,125.040001,125.610001,31768100,121.80105
7/13/2015,125.029999,125.760002,124.32,125.660004,41440500,121.849537
